Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,691017,-,-,-,30.97,-97.26,-6,169,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,AOD,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,,,,,,,,,,,,,,,,,,
2018,1,1,18,30,-4.2,1.42,0.045,0.63,0,0,0,0,0,-10.3,0,0,0,0,0.314,62.7,100.98,0.92,0.17,1016,0.7000000000000001,28,1.7000000000000002,,,,,,,,,,,,,,,,,,
2018,1,1,19,30,-4.5,1.42,0.045,0.63,0,0,0,0,0,-10.600000000000001,0,0,0,0,0.314,62.440000000000005,113.28,0.92,0.17,1017,0.7000000000000001,30,2,,,,,,,,,,,,,,,,,,
2018,1,1,20,30,-4.7,1.41,0.045,0.63,0,0,0,0,0,-10.700000000000001,0,0,0,0,0.315,62.7,125.91,0.92,0.17,1017,0.8,31,2.2,,,,,,,,,,,,,,,,,,
2018,1,1,21,30,-5,1.4000000000000001,0.047,0.63,0,0,0,0,0,-10.600000000000001,0,0,0,0,0.316,64.62,138.73,0.93,0.17,1017,0.8,31,2.2,,,,,,,,,,,,,,,,,,
2018,1,1,22,30,-5.1000000000000005,1.3900000000000001,0.051000000000000004,0.63,0,0,0,0,0,-10.3,0,0,0,0,0.318,66.85,151.54,0.9400000000000001,0.17,1017,0.9,31,2.1,,,,,,,,,,,,,,,,,,
2018,1,1,23,30,-5.1000000000000005,1.37,0.057,0.63,0,0,0,0,0,-10.100000000000001,0,0,0,0,0.322,67.75,163.85,0.9400000000000001,0.17,1017,0.9,35,2.1,,,,,,,,,,,,,,,,,,
2018,1,2,0,30,-4.9,1.35,0.062,0.63,0,0,0,0,0,-10,0,0,0,0,0.325,67.29,171.92000000000002,0.9400000000000001,0.17,1017,0.9,45,2.1,,,,,,,,,,,,,,,,,,
2018,1,2,1,30,-4.9,1.35,0.066,0.63,0,0,0,0,0,-10.100000000000001,0,0,0,0,0.328,67.13,164.98,0.9500000000000001,0.17,1016,1,53,2,,,,,,,,,,,,,,,,,,
2018,1,2,2,30,-4.800000000000001,1.32,0.07100000000000001,0.63,0,0,0,0,7,-10,0,0,0,0,0.331,67.17,152.81,0.9500000000000001,0.17,1016,1,54,2.2,,,,,,,,,,,,,,,,,,
2018,1,2,3,30,-4.3,1.29,0.076,0.63,0,0,0,0,7,-10.3,0,0,0,0,0.333,62.84,140.01,0.9500000000000001,0.17,1016,1,55,2.6,,,,,,,,,,,,,,,,,,
2018,1,2,4,30,-4,1.27,0.078,0.63,0,0,0,0,7,-11.5,0,0,0,0,0.335,55.92,127.18,0.9500000000000001,0.17,1015,1,57,2.8000000000000003,,,,,,,,,,,,,,,,,,
2018,1,2,5,30,-3.9000000000000004,1.27,0.079,0.63,0,0,0,0,0,-12.5,0,0,0,0,0.336,51.46,114.51,0.9500000000000001,0.17,1015,1,56,2.7,,,,,,,,,,,,,,,,,,
2018,1,2,6,30,-3.8000000000000003,1.26,0.078,0.63,0,0,0,0,0,-12.8,0,0,0,0,0.336,49.84,102.17,0.9500000000000001,0.17,1016,1,51,2.6,,,,,,,,,,,,,,,,,,
2018,1,2,7,30,-3.5,1.26,0.077,0.63,9,68,9,2,0,-12.9,6,26,25,6,0.335,48.29,89.78,0.9500000000000001,0.17,1016,1,47,2.6,,,,,,,,,,,,,,,,,,
2018,1,2,8,30,-2.8000000000000003,1.26,0.075,0.63,53,558,157,0,0,-13.100000000000001,53,558,0,157,0.332,45.11,79.22,0.9500000000000001,0.17,1015,0.9,46,2.8000000000000003,,,,,,,,,,,,,,,,,,
2018,1,2,9,30,-1.8,1.26,0.074,0.63,73,761,341,0,4,-13.100000000000001,109,1,0,109,0.33,41.800000000000004,69.41,0.9500000000000001,0.17,1015,0.9,44,2.8000000000000003,,,,,,,,,,,,,,,,,,
2018,1,2,10,30,-0.8,1.25,0.074,0.63,87,852,495,0,4,-12.9,148,0,0,148,0.328,39.31,61.370000000000005,0.9500000000000001,0.17,1015,0.9,35,2.7,,,,,,,,,,,,,,,,,,
