Module,25,26,27,28,Any_Over_1500V
LR5-72HBD-540M,1324.9,1377.89,1430.89,1483.89,False
LR5-72HBD-545M,1328.99,1382.15,1435.31,1488.47,False
LR5-72HBD-550M,1333.06,1386.38,1439.71,1493.03,False
LR5-72HBD-555M,1337.32,1390.82,1444.31,1497.8,False
LR5-72HBD-560M,1341.26,1394.91,1448.57,1502.22,True
LR5-72HBD-565M,1345.28,1399.09,1452.9,1506.71,True
